# =============================================================================
# Suzume User Dictionary - Organizations, Media & Events
# =============================================================================
#
# Format: surface<TAB>pos
#
# =============================================================================

# --- events ---
FUJI ROCK FESTIVAL	NOUN
SUMMER SONIC	NOUN
ROCK IN JAPAN FESTIVAL	NOUN
RISING SUN ROCK FESTIVAL	NOUN
COUNTDOWN JAPAN	NOUN
VIVA LA ROCK	NOUN
SWEET LOVE SHOWER	NOUN
甲子園	NOUN
AWS Summit	NOUN
Google I/O	NOUN

# --- government ---
World Bank	NOUN

# --- media ---
NHK BS	NOUN
朝日テレビ	NOUN
テレビ Q	NOUN
BS-TBS	NOUN
J SPORTS	NOUN
AT-X	NOUN
Amazon Prime Video	NOUN
U-NEXT	NOUN
DMM TV	NOUN
YouTube Premium	NOUN
Apple Music	NOUN
LINE MUSIC	NOUN
Amazon Music	NOUN
Apple TV+	NOUN
NHK-FM	NOUN
TOKYO FM	NOUN
J-WAVE	NOUN
FM COCOLO	NOUN
ZIP-FM	NOUN
FM AICHI	NOUN
The Japan Times	NOUN
Yahoo!ニュース	NOUN
CNET Japan	NOUN
ZDNet Japan	NOUN
TechCrunch Japan	NOUN
Impress Watch	NOUN
ASCII.jp	NOUN
BuzzFeed Japan	NOUN

# --- organizations ---
Money Forward	NOUN
Preferred Networks	NOUN
PKSHA Technology	NOUN
Square Enix	NOUN
BANDAI NAMCO	NOUN
KOEI TECMO	NOUN
LEVEL-5	NOUN
Game Freak	NOUN
Epic Games	NOUN
Electronic Arts	NOUN
Riot Games	NOUN
Rockstar Games	NOUN
CD Projekt	NOUN
L'Oreal	NOUN
Estee Lauder	NOUN
Johnson & Johnson	NOUN
P&G	NOUN
Coca-Cola	NOUN
ITO EN	NOUN
Red Bull	NOUN
Monster Beverage	NOUN
TULLY'S	NOUN
Mercedes-Benz	NOUN
Land Rover	NOUN
General Motors	NOUN
Louis Vuitton	NOUN
Bottega Veneta	NOUN
Saint Laurent	NOUN
Patek Philippe	NOUN
Audemars Piguet	NOUN
New Balance	NOUN
THE NORTH FACE	NOUN
Arc'teryx	NOUN
H&M	NOUN
Fast Retailing	NOUN
COMME des GARCONS	NOUN
ISSEY MIYAKE	NOUN
UNITED ARROWS	NOUN
Goldman Sachs	NOUN
Morgan Stanley	NOUN
Bank of America	NOUN
Credit Suisse	NOUN
Deutsche Bank	NOUN
BNP Paribas	NOUN
Societe Generale	NOUN
American Express	NOUN
Khan Academy	NOUN
ANYTIME FITNESS	NOUN
GOLD'S GYM	NOUN
Aston Villa	NOUN
West Ham	NOUN
レアル・マドリード	NOUN
Real Madrid	NOUN
Atletico Madrid	NOUN
Bayern Munich	NOUN
Borussia Dortmund	NOUN
RB Leipzig	NOUN
Inter Milan	NOUN
AS Roma	NOUN
Premier League	NOUN
La Liga	NOUN
Serie A	NOUN
Ligue 1	NOUN
Red Bull Racing	NOUN
Scuderia Ferrari	NOUN
Mercedes-AMG	NOUN
Aston Martin	NOUN
Alfa Romeo	NOUN
New York Times	NOUN
Washington Post	NOUN
Wall Street Journal	NOUN
Warner Bros	NOUN
Sony Pictures	NOUN
20th Century Studios	NOUN
Production I.G	NOUN
Studio Ghibli	NOUN
Air France	NOUN
British Airways	NOUN
United Airlines	NOUN
American Airlines	NOUN
Delta Airlines	NOUN
Singapore Airlines	NOUN
Cathay Pacific	NOUN
Qatar Airways	NOUN

# --- sports_teams ---
京都サンガF.C.	NOUN
浦安D-Rocks	NOUN
D-Rocks	NOUN
レアル・マドリード	NOUN
