# =============================================================================
# Suzume User Dictionary - Entertainment (Anime, Manga, Light Novels, Games)
# =============================================================================
#
# Format: surface<TAB>pos
#
# =============================================================================

# --- Nouns (名詞) ---
2.5次元の誘惑	NOUN
30歳まで童貞だと魔法使いになれるらしい	NOUN
3月のライオン	NOUN
ACE COMBAT	NOUN
Among Us	NOUN
Angel Beats!	NOUN
Apex Legends	NOUN
Assassin's Creed	NOUN
BANANA FISH	NOUN
BE BLUES!	NOUN
BILLY BAT	NOUN
BLEACH	NOUN
BUNGO-ブンゴ-	NOUN
BanG Dream!	NOUN
CCさくら	NOUN
CHAOS;HEAD	NOUN
Cowboy Bebop	NOUN
Cyberpunk 2077	NOUN
D.Gray-man	NOUN
DARKER THAN BLACK	NOUN
DEATH NOTE	NOUN
DEVILMAN crybaby	NOUN
DOG DAYS	NOUN
Death Stranding	NOUN
Diablo IV	NOUN
Do It Yourself!!	NOUN
Dr.STONE	NOUN
Dr.スランプ アラレちゃん	NOUN
ELDEN RING	NOUN
Ergo Proxy	NOUN
FAIRY TAIL	NOUN
Fate/Apocrypha	NOUN
Fate/EXTRA	NOUN
Fate/Grand Order	NOUN
Fate/Zero	NOUN
Fate/stay night	NOUN
GHOST IN THE SHELL	NOUN
GIANT KILLING	NOUN
Genshin Impact	NOUN
Ghost of Tsushima	NOUN
Go!プリンセスプリキュア	NOUN
HUGっと!プリキュア	NOUN
HUNTER×HUNTER	NOUN
Hollow Knight	NOUN
IS〈インフィニット・ストラトス〉	NOUN
LIAR GAME	NOUN
Lv2からチートだった元勇者候補のまったり異世界ライフ	NOUN
MELTY BLOOD	NOUN
Marvel's Spider-Man	NOUN
Master キートン	NOUN
NARUTO	NOUN
NEW GAME!	NOUN
NEW GAME!!	NOUN
NieR:Automata	NOUN
NieR Replicant	NOUN
ONE PIECE	NOUN
PSYCHO-PASS	NOUN
Paradise Kiss	NOUN
Project DIVA	NOUN
PとJK	NOUN
R-TYPE	NOUN
RE:2	NOUN
RE:4	NOUN
ROBOTICS;NOTES	NOUN
Re:ステージ!	NOUN
Re:ゼロ	NOUN
Re:ゼロから始める異世界生活	NOUN
SAKAMOTO DAYS	NOUN
SHIROBAKO	NOUN
SHOW BY ROCK!!	NOUN
SILENT HILL	NOUN
SLAM DUNK	NOUN
SOUND VOLTEX	NOUN
SPY×FAMILY	NOUN
SSSS.DYNAZENON	NOUN
SSSS.GRIDMAN	NOUN
STEINS;GATE	NOUN
Stardew Valley	NOUN
TARI TARI	NOUN
THE FIRST SLAM DUNK	NOUN
THE IDOLM@STER	NOUN
TIGER & BUNNY	NOUN
ToLOVEる	NOUN
VOCALOID	NOUN
Vivy -Fluorite Eye's Song-	NOUN
WHITE ALBUM	NOUN
WWW.WORKING!!	NOUN
Wuthering Waves	NOUN
beatmania IIDX	NOUN
アイドルマスター	NOUN
アイマス	NOUN
アインズ	NOUN
アウラ	NOUN
赤木リツコ	NOUN
秋山澪	NOUN
アクア	NOUN
アクセラレータ	NOUN
悪役令嬢なのでラスボスを飼ってみました	NOUN
暁美ほむら	NOUN
朝比奈みくる	NOUN
アシタカ	NOUN
明日ちゃんのセーラー服	NOUN
アスナ	NOUN
アスミカケル	NOUN
あずにゃん	NOUN
あずまんが大王	NOUN
安達としまむら	NOUN
我妻善逸	NOUN
