# suzume user dictionary - cleaned entries
# Format: surface	pos	reading	cost
#
# Only entries that suzume cannot handle without dictionary:
# - Mixed character type names/titles
# - Fixed expressions with particles
# - Proper nouns that would be incorrectly split
#
# Generated by scripts/cleanup_dict.pl

# === adult_games_comics ===
ノベルゲーム	NOUN	のべるげーむ	0.5
胸糞悪い	ADJ	むなくそわるい	0.5
マインドコントロール	NOUN	まいんどこんとろーる	0.5
秘密の関係	NOUN	ひみつのかんけい	0.5
BAD END	NOUN	ばっどえんど	0.5
押しに弱い	PHRASE	おしによわい	0.5
TYPE-MOON	PROPN	たいぷむーん	0.5
SAGA PLANETS	PROPN	さがぷらねっつ	0.5
Lump of Sugar	PROPN	らんぷおぶしゅがー	0.5
ASa Project	PROPN	あさぷろじぇくと	0.5
CLOCK UP	PROPN	くろっくあっぷ	0.5
BLACK CYNIC	PROPN	ぶらっくしにっく	0.5
Atelier Kaguya	PROPN	あとりえかぐや	0.5
Liar-soft	PROPN	らいあーそふと	0.5
Innocent Grey	PROPN	いのせんとぐれい	0.5
Purple software	PROPN	ぱーぷるそふとうぇあ	0.5
Visual Art's	PROPN	びじゅあるあーつ	0.5
COMIC LO	PROPN	こみっくえるおー	0.5
COMIC X-EROS	PROPN	こみっくえっくすえろす	0.5
COMIC UNREAL	PROPN	こみっくあんりある	0.5
COMIC HOT MILK	PROPN	こみっくほっとみるく	0.5
Ci-en	PROPN	しえん	0.5
欲求不満	NOUN	よっきゅうふまん	0.5

# === adult_media ===
元AV女優	NOUN	もとえーぶいじょゆう	0.5
バスガイド	NOUN	ばすがいど	0.5
E-BODY	PROPN	いーぼでぃ	0.5
V&R	PROPN	ぶいあんどあーる	0.5
同人AV.com	PROPN	どうじんえーぶいこむ	0.5
T-POWERS	PROPN	てぃーぱわーず	0.5
ALL PRO	PROPN	おーるぷろ	0.5
Mine's	PROPN	まいんず	0.5
AV OPEN	PROPN	えーぶいおーぷん	0.5
FANZA AWARD	PROPN	ふぁんざあわーど	0.5
Blu-ray	NOUN	ぶるーれい	0.5
表現の自由	PHRASE	ひょうげんのじゆう	0.5

# === anime ===
SPY×FAMILY	PROPN	すぱいふぁみりー	0.5
葬送のフリーレン	PROPN	そうそうのふりーれん	0.5
薬屋のひとりごと	PROPN	くすりやのひとりごと	0.5
ぼっち・ざ・ろっく!	PROPN	ぼっちざろっく	0.5
機動戦士ガンダム水星の魔女	PROPN	きどうせんしがんだむすいせいのまじょ	0.5
明日ちゃんのセーラー服	PROPN	あけびちゃんのせーらーふく	0.5
Re:ゼロから始める異世界生活	PROPN	りぜろからはじめるいせかいせいかつ	0.5
この素晴らしい世界に祝福を!	PROPN	このすばらしいせかいにしゅくふくを	0.5
盾の勇者の成り上がり	PROPN	たてのゆうしゃのなりあがり	0.5
ダンジョンに出会いを求めるのは間違っているだろうか	PROPN	だんまち	0.5
本好きの下剋上	PROPN	ほんずきのげこくじょう	0.5
魔法科高校の劣等生	PROPN	まほうかこうこうのれっとうせい	0.5
とある魔術の禁書目録	PROPN	とあるまじゅつのいんでっくす	0.5
とある科学の超電磁砲	PROPN	とあるかがくのれーるがん	0.5
陰の実力者になりたくて!	PROPN	かげのじつりょくしゃになりたくて	0.5
回復術士のやり直し	PROPN	かいふくじゅつしのやりなおし	0.5
ありふれた職業で世界最強	PROPN	ありふれたしょくぎょうでせかいさいきょう	0.5
八男って、それはないでしょう!	PROPN	はちなんってそれはないでしょう	0.5
デスマーチからはじまる異世界狂想曲	PROPN	ですまーちからはじまるいせかいきょうそうきょく	0.5
月が導く異世界道中	PROPN	つきがみちびくいせかいどうちゅう	0.5
現実主義勇者の王国再建記	PROPN	げんじつしゅぎゆうしゃのおうこくさいけんき	0.5
失格紋の最強賢者	PROPN	しっかくもんのさいきょうけんじゃ	0.5
聖女の魔力は万能です	PROPN	せいじょのまりょくはばんのうです	0.5
転生王女と天才令嬢の魔法革命	PROPN	てんせいおうじょとてんさいれいじょうのまほうかくめい	0.5
最強陰陽師の異世界転生記	PROPN	さいきょうおんみょうじのいせかいてんせいき	0.5
勇者パーティーを追放されたビーストテイマー	PROPN	ゆうしゃぱーてぃーをついほうされたびーすとていまー	0.5
最弱テイマーはゴミ拾いの旅を始めました。	PROPN	さいじゃくていまーはごみひろいのたびをはじめました	0.5
痛いのは嫌なので防御力に極振りしたいと思います。	PROPN	いたいのはいやなのでぼうぎょりょくにきょくふりしたいとおもいます	0.5
