# =============================================================================
# Suzume L2 Dictionary - Verbs (動詞)
# =============================================================================
#
# Format: surface<TAB>pos<TAB>conj_type
#
# Most verbs are handled by dynamic analysis.
# Only entries here for:
# - Disambiguation (godan-sa vs adjective stem)
# - Irregular conjugation (honorific, する, etc.)
# - Compound verbs with 促音 (break without dict)
# - Hiragana verbs (over-split without dict)
#
# =============================================================================

# --- Irregular/Honorific verbs ---
する	VERB	SURU
来る	VERB	KURU
ある	VERB	GODAN_RA
くださる	VERB	GODAN_RA
いらっしゃる	VERB	GODAN_RA
なさる	VERB	GODAN_RA
おっしゃる	VERB	GODAN_RA
ござる	VERB	GODAN_RA

# --- Godan-SA verbs (disambiguation: verb renyokei vs adjective stem) ---
# e.g., 話しそう (verb) vs 難しそう (adj) - both have kanji + し + そう structure
話す	VERB	GODAN_SA
出す	VERB	GODAN_SA
消す	VERB	GODAN_SA
返す	VERB	GODAN_SA
探す	VERB	GODAN_SA
渡す	VERB	GODAN_SA
外す	VERB	GODAN_SA
試す	VERB	GODAN_SA
直す	VERB	GODAN_SA
落とす	VERB	GODAN_SA
残す	VERB	GODAN_SA
増す	VERB	GODAN_SA
貸す	VERB	GODAN_SA
指す	VERB	GODAN_SA
足す	VERB	GODAN_SA
隠す	VERB	GODAN_SA
壊す	VERB	GODAN_SA
刺す	VERB	GODAN_SA
差す	VERB	GODAN_SA
挿す	VERB	GODAN_SA
越す	VERB	GODAN_SA
通す	VERB	GODAN_SA
示す	VERB	GODAN_SA
倒す	VERB	GODAN_SA
起こす	VERB	GODAN_SA
愛す	VERB	GODAN_SA
見出す	VERB	GODAN_SA
戻す	VERB	GODAN_SA

# --- Compound verbs with 促音 (break without dict) ---
引っ張る	VERB	GODAN_RA
引っかかる	VERB	GODAN_RA
乗っかる	VERB	GODAN_RA
引っ越す	VERB	GODAN_SA
恐れ入る	VERB	GODAN_RA
飛び降りる	VERB	ICHIDAN
抱きしめる	VERB	ICHIDAN
出しゃばる	VERB	GODAN_RA
たどり着く	VERB	GODAN_KA
やり直す	VERB	GODAN_SA
取り上げる	VERB	ICHIDAN

# --- Hiragana verbs (over-split without dict) ---
いたす	VERB	GODAN_SA
なくす	VERB	GODAN_SA
のろける	VERB	ICHIDAN
とりあげる	VERB	ICHIDAN
あきらめる	VERB	ICHIDAN
しれる	VERB	ICHIDAN
すぎる	VERB	ICHIDAN
つける	VERB	ICHIDAN
きる	VERB	GODAN_RA
もがく	VERB	GODAN_KA
おく	VERB	GODAN_KA
いく	VERB	GODAN_KA
いただく	VERB	GODAN_KA
# GODAN_MA: Renyokei ~み competes with auxiliary みたい (resemblance).
# All single-kanji+む verbs must be enumerated here — without a dict entry,
# 猫みたい cannot be distinguished from 読みたい.
こむ	VERB	GODAN_MA
たたずむ	VERB	GODAN_MA
いただける	VERB	ICHIDAN
たべる	VERB	ICHIDAN
しめる	VERB	ICHIDAN
にげる	VERB	ICHIDAN
ねる	VERB	ICHIDAN
でる	VERB	ICHIDAN
いる	VERB	ICHIDAN
よる	VERB	GODAN_RA
あがる	VERB	GODAN_RA
かかる	VERB	GODAN_RA
こもり	VERB	GODAN_RA
あなどる	VERB	GODAN_RA
かかわる	VERB	GODAN_RA
うかがう	VERB	GODAN_WA
もらう	VERB	GODAN_WA
つく	VERB	GODAN_KA
つかむ	VERB	GODAN_MA

# --- Mixed script verbs ---
サボる	VERB	GODAN_RA
バレる	VERB	ICHIDAN

# --- Special verbs ---
# いう needed for Xという patterns
いう	VERB	GODAN_WA
# 願い - irregular stem
願い	VERB	GODAN_WA

# --- Disambiguation verbs ---
# 付ける - split as 付+ける without dict
付ける	VERB	ICHIDAN
上げる	VERB	ICHIDAN
下げる	VERB	ICHIDAN
掛ける	VERB	ICHIDAN
抜ける	VERB	ICHIDAN
駆ける	VERB	ICHIDAN
出かける	VERB	ICHIDAN
見つかる	VERB	GODAN_RA
見つける	VERB	ICHIDAN
出来る	VERB	ICHIDAN
用いる	VERB	ICHIDAN
